Title	eISSN
Fire	2571-6255
Fishes	2410-3888
Fluids	2311-5521
Foods	2304-8158
Forecasting	2571-9394
Forensic Sciences	2673-6756
Forests	1999-4907
Foundations	2673-9321
Fractal and Fractional	2504-3110
Fuels	2673-3994
Future Internet	1999-5903
Future Pharmacology	2673-9879
Future Physics	2624-6503
Future Transportation	2673-7590
Galaxies	2075-4434
Games	2073-4336
Gases	2673-5628
Gastroenterology Insights	2036-7422
Gastrointestinal Disorders	2624-5647
Gels	2310-2861
Genealogy	2313-5778
Genes	2073-4425
Geographies	2673-7086
GeoHazards	2624-795X
Geomatics	2673-7418
Geosciences	2076-3263
Geotechnics	2673-7094
Geriatrics	2308-3417
Healthcare	2227-9032
Hearts	2673-3846
Hemato	2673-6357
Heritage	2571-9408
High-Throughput	2571-5135
Histories	2409-9252
Horticulturae	2311-7524
Humanities	2076-0787
Humans	2673-9461
Hydrobiology	2673-9917
Hydrogen	2673-4141
Hydrology	2306-5338
Hygiene	2673-947X
Immuno	2673-5601
Infectious Disease Reports	2036-7449
Informatics	2227-9709
Information	2078-2489
Infrastructures	2412-3811
Inorganics	2304-6740
Insects	2075-4450
Instruments	2410-390X
International Journal of Environmental Research and Public Health	1660-4601
International Journal of Financial Studies	2227-7072
International Journal of Molecular Sciences	1422-0067
International Journal of Neonatal Screening	2409-515X
International Journal of Translational Medicine	2673-8937
International Journal of Turbomachinery, Propulsion and Power	2504-186X
Inventions	2411-5134
IoT	2624-831X
ISPRS International Journal of Geo-Information	2220-9964
J	2571-8800
Journal of Ageing and Longevity	2673-9259
Journal of Cardiovascular Development and Disease	2308-3425
Journal of Clinical Medicine	2077-0383
Journal of Composites Science	2504-477X
Journal of Cybersecurity and Privacy	2624-800X
Journal of Developmental Biology	2221-3759
Journal of Functional Biomaterials	2079-4983
Journal of Functional Morphology and Kinesiology	2411-5142
Journal of Fungi	2309-608X
Journal of Imaging	2313-433X
Journal of Intelligence	2079-3200
Journal of Low Power Electronics and Applications	2079-9268
Journal of Manufacturing and Materials Processing	2504-4494
Journal of Marine Science and Engineering	2077-1312
Journal of Molecular Pathology	2673-5261
Journal of Nanotheranostics	2624-845X
Journal of Nuclear Engineering	2673-4362
Journal of Open Innovation: Technology, Market, and Complexity	2199-8531
Journal of Otorhinolaryngology, Hearing and Balance Medicine	2504-463X
Journal of Personalized Medicine	2075-4426
Journal of Respiration	2673-527X
Journal of Risk and Financial Management	1911-8074
Journal of Sensor and Actuator Networks	2224-2708
Journal of Theoretical and Applied Electronic Commerce Research	7181-1876
Journal of Xenobiotics	2039-4713
Journal of Zoological and Botanical Gardens	2673-5636
Journalism and Media	2673-5172
Kidney and Dialysis	2673-8236
Knowledge	2673-9585
Land	2073-445X
Languages	2226-471X
Laws	2075-471X
Life	2075-1729
Liquids	2673-8015
Literature	2410-9789
Livers	2673-4389
Logistics	2305-6290
Lubricants	2075-4442
Machine Learning and Knowledge Extraction	2504-4990
Machines	2075-1702
Macromol	2673-6209
Magnetism	2673-8724
Magnetochemistry	2312-7481
Marine Drugs	1660-3397
Materials	1996-1944
Mathematical and Computational Applications	2297-8747
Mathematics	2227-7390
Medical Sciences	2076-3271
Medical Sciences Forum	2673-9992
Medicina	1648-9144
Medicines	2305-6320
Membranes	2077-0375
Merits	2673-8104
Metabolites	2218-1989
Metals	2075-4701
Meteorology	2674-0494
Methane	2674-0389
Methods and Protocols	2409-9279
Metrology	2673-8244
Micro	2673-8023
Microarrays	2076-3905
Microbiology Research	2036-7481
Micromachines	2072-666X
Microorganisms	2076-2607
Microplastics	2673-8929
Minerals	2075-163X
Mining	2673-6489
Modelling	2673-3951
Molbank	1422-8599
Molecules	1420-3049
Multimodal Technologies and Interaction	2414-4088
Nanoenergy Advances	2673-706X
Nanomanufacturing	2673-687X
Nanomaterials	2079-4991
Network	2673-8732
Neuroglia	2571-6980
Neurology International	2035-8377
NeuroSci	2673-4087
Nitrogen	2504-3129
Non-Coding RNA	2311-553X
Nursing Reports	2039-4403
Nutraceuticals	1661-3821
Nutrients	2072-6643
Obesities	2673-4168
Oceans	2673-1924
Onco	2673-7523
Optics	2673-3269
Oral	2673-6373
Organics	2673-401X
Organoids	2674-1172
Osteology	2673-4036
Oxygen	2673-9801
Parasitologia	2673-6772
Particles	2571-712X
Pathogens	2076-0817
Pathophysiology	1873-149X
Pediatric Reports	2036-7503
Pharmaceuticals	1424-8247
Pharmaceutics	1999-4923
Pharmacy	2226-4787
Philosophies	2409-9287
Photochem	2673-7256
Photonics	2304-6732
Phycology	2673-9410
Physchem	2673-7167
Physical Sciences Forum	2673-9984
Physics	2624-8174
Physiologia	2673-9488
Plants	2223-7747
Plasma	2571-6182
Pollutants	2673-4672
Polymers	2073-4360
Polysaccharides	2673-4176
Poultry	2674-1164
Proceedings	2504-3900
Processes	2227-9717
Prosthesis	2673-1592
Proteomes	2227-7382
Psych	2624-8611
Psychiatry International	2673-5318
Publications	2304-6775
Quantum Beam Science	2412-382X
Quantum Reports	2624-960X
Quaternary	2571-550X
Radiation	2673-592X
Reactions	2624-781X
Recycling	2313-4321
Religions	2077-1444
Remote Sensing	2072-4292
Reports	2571-841X
Reproductive Medicine	2673-3897
Resources	2079-9276
Rheumato	2674-0621
Risks	2227-9091
Robotics	2218-6581
Ruminants	2673-933X
Safety	2313-576X
Sci	2413-4155
Scientia Pharmaceutica	2218-0532
Seeds	2674-1024
Sensors	1424-8220
Separations	2297-8739
Sexes	2411-5118
Signals	2624-6120
Sinusitis	2673-351X
Sinusitis and Asthma	2624-7003
Smart Cities	2624-6511
Social Sciences	2076-0760
Societies	2075-4698
Soil Systems	2571-8789
Soils	2411-5126
Solar	2673-9941
Solids	2673-6497
Sports	2075-4663
Standards	2305-6703
Stats	2571-905X
Stresses	2673-7140
Surfaces	2571-9637
Surgeries	2673-4095
Sustainability	2071-1050
Sustainable Chemistry	2673-4079
Symmetry	2073-8994
SynBio	2674-0583
Systems	2079-8954
Taxonomy	2673-6500
Technologies	2227-7080
Telecom	2673-4001
Textiles	2673-7248
Thermo	2673-7264
Tomography	2379-139X
Tourism and Hospitality	2673-5768
Toxics	2305-6304
Toxins	2072-6651
Transplantology	2673-3943
Trauma Care	2673-866X
Tropical Medicine and Infectious Disease	2414-6366
Universe	2218-1997
Urban Science	2413-8851
Uro	2673-4397
Vaccines	2076-393X
Vehicles	2624-8921
Venereology	2674-0710
Veterinary Sciences	2306-7381
Vibration	2571-631X
Viruses	1999-4915
Vision	2411-5150
Water	2073-4441
Wildlife Ecology and Management	1234-4321
Wind	2674-032X
Women	2673-4184
World	2673-4060
World Electric Vehicle Journal	2032-6653
Youth	2673-995X
Zoonoses	2673-9968
