TITLE	IDENTIFIER	ISSN	EISSN
Neonatologie Scan	neonatologie-scan	2194-5462 	2194-5470
Neurology International Open	neurology-international-open		2511-1795
Neuroradiologie Scan	neuroradiologie-scan	1616-9697 	1616-9700
Notfallmedizin up2date	notfallmedizin-up2date	1611-6550 	1862-6955
OP Journal	op-journal	0178-1715 	1439-2496 
Orthopädie und Unfallchirurgie up2date	orthopaedie-und-unfallchirurgie-up2date	1611-7859 	1861-1982
Pädiatrie up2date	paediatrie-up2date	1611-6445 	1862-9393
Pharmacopsychiatry	pharmacopsychiatry	0176-3679 	1439-0795
Physikalische Medizin, Rehabilitationsmedizin, Kurortmedizin 	physikalische-medizin-rehabilitationsmedizin-kurortmedizin	0940-6689 	1439-085X
PiD - Psychotherapie im Dialog	pid-psychotherapie-im-dialog	1438-7026 	1439-913X
Planta Medica	planta-medica	0032-0943	1439-0221 
Planta Medica International Open	planta-medica-international-open	2509-9264 	2509-6656
Pneumologie	pneumologie	0934-8387 	1438-8790
PPmP - Psychotherapie - Psychosomatik - Medizinische Psychologie	ppmp-psychotherapie-psychosomatik-medizinische-psychologie	0937-2032 	1439-1058
Psych up2date	psych-up2date	2194-8895 	2194-8909
Psychiatrische Praxis	psychiatrische-praxis	0303-4259 	1439-0876
Radiologie up2date	radiologie-up2date	1616-0681 	1617-8300
Radiopraxis	radiopraxis	1866-1033 	1866-1041
retten!	retten!	2193-2387 	2193-2395
RöFo	roefo	1438-9029 	1438-9010
Senologie	senologie	1611-6453 	1611-647X
Sports Medicine International open	sports-medicine-international-open		2367-1890
Sportverletzung - Sportschaden	sportverletzung-sportschaden	0932-0555 	1439-1236
Sprache - Stimme - Gehör	sprache-stimme-gehoer	0342-0477 	1439-1260
Suchttherapie	suchttherapie	1439-9903 	1439-989X
Transfusionsmedizin	transfusionsmedizin	2191-8805 	2191-8813
TumorDiagnostik &amp; Therapie	tumordiagnostik-und-therapie	0722-219X 	1439-1279 
Ultraschall in der Medizin	ultraschall-in-der-medizin	0172-4614 	1438-8782
Ultrasound International Open	ultrasound-international-open	2509-596X 	2199-7152
Zahnmedizin up2date	zahnmedizin-up2date	1865-0457 	1865-0465 
Zeitschrift für Gastroenterologie	zeitschrift-fuer-gastroenterologie	0044-2771 	1439-7803
Zeitschrift für Geburtshilfe und Neonatologie	zeitschrift-fuer-geburtshilfe-und-neonatologie	0948-2393 	1439-1651
Zeitschrift für Orthopädie und Unfallchirurgie 	zeitschrift-fuer-orthopaedie-und-unfallchirurgie-	1864-6697 	1864-6743
Zeitschrift für Palliativmedizin	zeitschrift-fuer-palliativmedizin	1615-2921	1615-293X 
Zeitschrift für Sexualforschung	zeitschrift-fuer-sexualforschung	0932-8114	1438-9460
Zentralblatt für Chirurgie 	zentralblatt-fuer-chirurgie-	0044-409X	1438-9592
ZWR - Das Deutsche Zahnärzteblatt	zwr-das-deutsche-zahnaerzteblatt	0044-166X	1439-9148
